	Maupassant_PierreJean_0	Maupassant_PierreJean_1	Maupassant_PierreJean_2	Maupassant_PierreJean_3	Maupassant_PierreJean_4	Maupassant_PierreJean_5	Maupassant_PierreJean_6	Maupassant_PierreJean_7	Maupassant_PierreJean_8	Maupassant_PierreJean_9	Maupassant_PierreJean_10	Maupassant_PierreJean_11	Maupassant_PierreJean_12	Maupassant_PierreJean_13	Maupassant_PierreJean_14	Maupassant_PierreJean_15	Maupassant_PierreJean_16	Maupassant_PierreJean_17	Maupassant_PierreJean_18	Maupassant_PierreJean_19	Maupassant_PierreJean_20	Maupassant_PierreJean_21	Maupassant_PierreJean_22	Maupassant_PierreJean_23	Maupassant_PierreJean_24	Maupassant_PierreJean_25	Maupassant_PierreJean_26	Maupassant_PierreJean_27	Maupassant_PierreJean_28	Maupassant_PierreJean_29	Maupassant_PierreJean_30	Maupassant_PierreJean_31	Maupassant_PierreJean_32	Maupassant_PierreJean_33	Maupassant_PierreJean_34	Maupassant_PierreJean_35	Maupassant_PierreJean_36	Maupassant_PierreJean_37	Maupassant_PierreJean_38	Maupassant_PierreJean_39	Maupassant_PierreJean_40	Maupassant_PierreJean_41	Maupassant_PierreJean_42	Maupassant_PierreJean_43	Maupassant_PierreJean_44	Maupassant_PierreJean_45	Maupassant_PierreJean_46	Maupassant_PierreJean_47	Maupassant_PierreJean_48	Maupassant_PierreJean_49	Maupassant_PierreJean_50	Maupassant_PierreJean_51	Maupassant_PierreJean_52	Maupassant_PierreJean_53	Maupassant_PierreJean_54	Maupassant_PierreJean_55	Maupassant_PierreJean_56	Maupassant_PierreJean_sum
sa_DET:POS_son	1.0	5.0	4.0	3.0	0.0	3.0	6.0	5.0	3.0	2.0	4.0	3.0	3.0	6.0	2.0	6.0	3.0	4.0	6.0	8.0	4.0	10.0	11.0	8.0	14.0	8.0	8.0	13.0	2.0	4.0	6.0	10.0	8.0	9.0	2.0	2.0	3.0	7.0	2.0	2.0	2.0	10.0	9.0	3.0	5.0	8.0	6.0	6.0	6.0	8.0	2.0	9.0	4.0	7.0	7.0	5.0	6.0	313.0
en_PRP_en	7.0	3.0	9.0	12.0	8.0	3.0	2.0	12.0	6.0	5.0	3.0	4.0	4.0	9.0	4.0	5.0	8.0	5.0	8.0	9.0	4.0	8.0	5.0	6.0	3.0	8.0	5.0	4.0	6.0	3.0	7.0	5.0	1.0	1.0	12.0	14.0	5.0	5.0	3.0	8.0	3.0	0.0	3.0	2.0	0.0	4.0	8.0	5.0	7.0	5.0	6.0	4.0	2.0	6.0	7.0	7.0	4.0	312.0
pas_ADV_pas	2.0	2.0	2.0	5.0	2.0	5.0	8.0	5.0	5.0	2.0	1.0	7.0	6.0	5.0	8.0	9.0	1.0	11.0	6.0	7.0	0.0	8.0	1.0	2.0	5.0	4.0	6.0	4.0	3.0	6.0	6.0	4.0	11.0	3.0	2.0	0.0	7.0	4.0	4.0	0.0	5.0	6.0	15.0	8.0	17.0	7.0	9.0	5.0	5.0	4.0	5.0	3.0	6.0	6.0	1.0	3.0	1.0	285.0
est_VER:pres_être	1.0	1.0	4.0	0.0	5.0	7.0	4.0	11.0	5.0	11.0	3.0	3.0	4.0	5.0	7.0	4.0	2.0	4.0	7.0	1.0	6.0	5.0	3.0	1.0	2.0	0.0	1.0	6.0	3.0	2.0	11.0	5.0	16.0	6.0	1.0	1.0	3.0	2.0	5.0	2.0	2.0	4.0	9.0	7.0	10.0	3.0	5.0	9.0	13.0	5.0	8.0	1.0	7.0	9.0	3.0	2.0	6.0	273.0
pour_PRP_pour	4.0	1.0	3.0	3.0	4.0	4.0	6.0	4.0	11.0	7.0	2.0	2.0	8.0	3.0	5.0	2.0	7.0	7.0	4.0	5.0	10.0	8.0	6.0	4.0	3.0	3.0	7.0	9.0	6.0	7.0	2.0	5.0	2.0	8.0	9.0	4.0	3.0	3.0	5.0	4.0	6.0	3.0	7.0	1.0	5.0	3.0	2.0	2.0	3.0	3.0	7.0	4.0	7.0	7.0	1.0	3.0	3.0	267.0
avait_VER:impf_avoir	5.0	6.0	6.0	0.0	2.0	1.0	1.0	6.0	7.0	2.0	6.0	3.0	2.0	8.0	2.0	5.0	6.0	1.0	4.0	7.0	1.0	1.0	6.0	15.0	14.0	9.0	6.0	8.0	8.0	9.0	13.0	2.0	2.0	6.0	1.0	3.0	1.0	3.0	1.0	6.0	4.0	8.0	5.0	0.0	2.0	5.0	3.0	0.0	3.0	5.0	3.0	5.0	8.0	2.0	3.0	2.0	3.0	256.0
sur_PRP_sur	3.0	2.0	5.0	7.0	3.0	0.0	5.0	4.0	4.0	7.0	5.0	1.0	4.0	9.0	2.0	6.0	2.0	1.0	2.0	8.0	7.0	3.0	4.0	1.0	2.0	4.0	4.0	7.0	7.0	6.0	1.0	4.0	1.0	3.0	6.0	15.0	6.0	3.0	4.0	3.0	1.0	0.0	6.0	3.0	0.0	4.0	4.0	6.0	5.0	13.0	3.0	6.0	3.0	7.0	4.0	12.0	5.0	253.0
n'_ADV_ne	3.0	2.0	4.0	1.0	1.0	6.0	5.0	4.0	6.0	2.0	3.0	5.0	4.0	5.0	6.0	4.0	2.0	7.0	8.0	4.0	4.0	3.0	6.0	6.0	6.0	3.0	3.0	2.0	4.0	5.0	5.0	3.0	10.0	1.0	0.0	0.0	5.0	9.0	4.0	1.0	2.0	8.0	10.0	7.0	13.0	4.0	6.0	5.0	2.0	2.0	5.0	4.0	10.0	6.0	2.0	3.0	1.0	252.0
--_PUN_--	0.0	7.0	2.0	3.0	3.0	12.0	6.0	5.0	3.0	0.0	6.0	5.0	0.0	1.0	10.0	3.0	0.0	2.0	0.0	5.0	4.0	0.0	2.0	2.0	3.0	4.0	0.0	11.0	2.0	1.0	3.0	0.0	10.0	2.0	2.0	0.0	6.0	4.0	13.0	5.0	6.0	6.0	1.0	17.0	3.0	6.0	6.0	12.0	15.0	3.0	7.0	0.0	3.0	8.0	3.0	3.0	4.0	250.0
plus_ADV_plus	6.0	3.0	3.0	2.0	2.0	3.0	5.0	4.0	4.0	2.0	2.0	2.0	7.0	0.0	4.0	4.0	8.0	8.0	3.0	3.0	6.0	5.0	8.0	10.0	3.0	4.0	4.0	3.0	5.0	0.0	4.0	2.0	2.0	5.0	2.0	4.0	5.0	5.0	3.0	4.0	6.0	3.0	8.0	12.0	10.0	3.0	2.0	7.0	2.0	4.0	3.0	9.0	5.0	2.0	5.0	4.0	4.0	248.0
ce_PRO:DEM_ce	0.0	2.0	3.0	3.0	5.0	1.0	6.0	5.0	5.0	4.0	5.0	5.0	5.0	2.0	0.0	4.0	4.0	5.0	3.0	4.0	2.0	4.0	7.0	3.0	2.0	4.0	5.0	6.0	2.0	3.0	10.0	5.0	5.0	2.0	4.0	1.0	4.0	3.0	4.0	6.0	4.0	6.0	2.0	11.0	6.0	5.0	4.0	4.0	5.0	3.0	8.0	4.0	6.0	6.0	2.0	2.0	4.0	235.0
du_PRP:det_du	6.0	4.0	5.0	1.0	4.0	6.0	5.0	5.0	7.0	12.0	5.0	4.0	6.0	5.0	5.0	1.0	4.0	6.0	6.0	6.0	5.0	2.0	4.0	2.0	3.0	9.0	4.0	3.0	6.0	1.0	0.0	5.0	3.0	1.0	6.0	4.0	2.0	2.0	3.0	1.0	0.0	3.0	2.0	1.0	2.0	5.0	2.0	2.0	3.0	6.0	3.0	10.0	1.0	4.0	8.0	4.0	2.0	227.0
par_PRP_par	2.0	7.0	1.0	2.0	7.0	2.0	2.0	1.0	2.0	5.0	4.0	7.0	5.0	7.0	1.0	4.0	3.0	8.0	3.0	7.0	2.0	4.0	1.0	4.0	5.0	5.0	2.0	3.0	5.0	6.0	4.0	2.0	2.0	8.0	5.0	7.0	5.0	2.0	3.0	2.0	2.0	12.0	6.0	4.0	1.0	5.0	1.0	4.0	2.0	5.0	0.0	11.0	3.0	1.0	7.0	2.0	3.0	226.0
était_VER:impf_être	7.0	4.0	1.0	1.0	4.0	3.0	3.0	4.0	3.0	2.0	6.0	1.0	7.0	2.0	4.0	4.0	1.0	3.0	4.0	1.0	2.0	7.0	5.0	9.0	7.0	5.0	1.0	7.0	5.0	3.0	9.0	6.0	4.0	3.0	6.0	2.0	1.0	3.0	5.0	4.0	4.0	7.0	8.0	1.0	2.0	3.0	4.0	5.0	0.0	3.0	3.0	7.0	4.0	2.0	6.0	2.0	2.0	222.0
